customer_id,name,postcode,phone_number
100000,Christine Salt,6180,043908827
100001,Brian Dombrowski,6195,048531388
100002,Alan Manlio,6132,041949472
100003,Sarah Sands,6218,044076280
100004,Albert Millard-Smith,6179,048447031
100005,Luke Jones,6200,048002060
100006,Joshua Russon,6132,040142504
100007,Chi St Jack,6145,044602328
100008,Nima Joshi,6151,041603272
100009,Mathew Dodani,6155,040008323
100010,John Badat,6141,048903656
100011,Lok Turner,6189,044041738
100012,Felicity Mcleod,6182,045268479
100013,Nima Ha,6120,049264165
100014,Lok Turner,6125,042201264
100015,En Ng,6140,047222085
100016,Shaquille Crawshaw,6136,044776433
100017,James Le,6129,043219397
100018,Michael Datta Roy,6165,048002641
100019,Rhys Johnson,6137,044914806
100020,Ross Walters,6081,049172662
100021,Ross Forster,6092,042199637
100022,Brendon Holtz,6164,047576626
100023,William Crabtree,6169,048658098
100024,Craig Graham,6126,047733007
100025,Julian Hicks,6104,045647488
100026,Welsley Harrison,6195,048660756
100027,Marc Munasinghe,6157,043060474
100028,Alby Hanson,6110,042387870
100029,Zayd Suryana,6174,043866153
100030,Marc Ha,6121,040349888
100031,Rhys Maisey,6176,045482742
100032,Andrew Impson,6170,045289919
100033,Umar Hlobil,6164,044243040
100034,Brendon Beermier,6206,048819986
100035,Brendon Pople,6086,042015694
100036,Hannah Mohamud Haji,6150,040559584
100037,Brandon Thompson,6152,040731091
100038,Joshua Datta Roy,6160,049261077
100039,Sarah Katwal,6150,048832907
100040,Stuart Tompsett,6142,045993510
100041,Boyd Glover,6157,048995696
100042,Seiti Linnegar,6135,049848698
100043,Peter Thompson,6156,048633256
100044,Christine Mcleod,6140,047527132
100045,Karani Ryan,6150,043890261
100046,Andrew Marshall,6116,044225146
100047,Adnan Candy,6188,046389554
100048,Vu Coxon,6126,046784153
100049,Troy Crawshaw,6150,046109253
100050,San Motuzas,6140,047470656
100051,Marc Godfrey,6151,047746228
100052,Garth Crabtree,6161,045953882
100053,Francis Walters,6187,046087079
100054,Luay Knoop,6134,043945453
100055,Peter Maisey,6156,040110460
100056,Brodie Bech,6175,045239833
100057,George How,6136,046959819
100058,Matt Ndwiga,6133,040147729
100059,Liana Millard-Smith,6182,049489298
100060,Luke Criddle,6175,041021883
100061,Sean Subasinghe Arrachchi,6144,048240185
100062,Nicholas Sinclair,6151,043818468
100063,Julie Le,6114,049567157
100064,Amanda Lavers,6113,040407250
100065,William Xu,6152,046529215
100066,Ryan Sinclair,6099,047531397
100067,Chi Tamura,6180,044179160
100068,Christopher Cooper,6135,040528441
100069,Dharmaratnam Woodley,6127,043401165
100070,Philip Joshi,6195,047055508
100071,Luke Dodani,6179,049693329
100072,Richard Smith,6157,044122178
100073,Joshua Berdin,6146,045315807
100074,Yasuhiro Cumpsty,6120,046867857
